"session_id","completed","subject_id","form","wave","task_order_indices","added_at","last_accessed"
"VZbfC2MGhLPLp7r6FPuaUY5E8l",TRUE,"dDvRkUhQwoslFqFURJF9","223301","2.0","{""time_series"":1,""leapfrog"":2,""impossible_question"":3,""bayesian_update_easy"":4,""bayesian_update_hard"":5,""shipley_vocab"":6,""shipley_abstraction"":7,""admc_rp"":8,""denominator_neglect_version_A"":9,""denominator_neglect_version_B"":10,""admc_a2"":11,""admc_rc1"":12}",2023-09-15 15:44:19,2023-09-19 16:47:17
"RaBGaTuaZSYB8YVa5fShsHGDYW",TRUE,"hRGa6FaIRK7j9S0HeI7X","223301","2.0","{""admc_a2"":1,""impossible_question"":2,""admc_rc1"":3,""admc_rp"":4,""leapfrog"":5,""shipley_vocab"":6,""shipley_abstraction"":7,""time_series"":8,""denominator_neglect_version_A"":9,""denominator_neglect_version_B"":10,""bayesian_update_easy"":11,""bayesian_update_hard"":12}",2023-09-15 16:11:50,2023-09-18 23:59:31
"roE5s1646kIDOHR2ypn0gY8XIG",TRUE,"umthPijt9cdE4VLD81bJ","33ff78","2.0","{""leapfrog"":1,""cognitive_reflection"":2,""graph_literacy"":3,""admc_rc2"":4,""raven_matrix"":5,""admc_a1"":6,""berlin_numeracy"":7,""bayesian_update_easy"":8,""bayesian_update_hard"":9,""impossible_question"":10,""number_series"":11,""admc_dr"":12,""time_series"":13,""coherence_forecasting"":14,""denominator_neglect_version_A"":15,""denominator_neglect_version_B"":16}",2023-09-15 16:15:28,2023-09-20 01:27:55
"tLSjGm6Dqri4nsVHHnkVL8G3V4",TRUE,"kWQWRj6ohfhOFyzKBIXh","33ff78","2.0","{""admc_dr"":1,""coherence_forecasting"":2,""graph_literacy"":3,""admc_a1"":4,""admc_rc2"":5,""number_series"":6,""leapfrog"":7,""raven_matrix"":8,""berlin_numeracy"":9,""time_series"":10,""impossible_question"":11,""cognitive_reflection"":12,""denominator_neglect_version_A"":13,""denominator_neglect_version_B"":14,""bayesian_update_easy"":15,""bayesian_update_hard"":16}",2023-09-15 16:25:11,2023-09-15 16:25:11
"Ox2JDobTVCybEB6T15i8Cf82Z1",TRUE,"ZazO4pBxhyRgvmniXpL0","33ff78","2.0","{""coherence_forecasting"":1,""denominator_neglect_version_A"":2,""denominator_neglect_version_B"":3,""bayesian_update_easy"":4,""bayesian_update_hard"":5,""admc_dr"":6,""leapfrog"":7,""cognitive_reflection"":8,""admc_rc2"":9,""number_series"":10,""raven_matrix"":11,""graph_literacy"":12,""admc_a1"":13,""impossible_question"":14,""berlin_numeracy"":15,""time_series"":16}",2023-09-15 16:32:56,2023-09-21 14:40:03
"WiMJRTZtpieHRm3ClAWipoHr0C",TRUE,"NTF49rYDA4NRQvxvBBy2","33ff78","2.0","{""admc_dr"":1,""admc_a1"":2,""raven_matrix"":3,""number_series"":4,""admc_rc2"":5,""coherence_forecasting"":6,""time_series"":7,""leapfrog"":8,""cognitive_reflection"":9,""impossible_question"":10,""graph_literacy"":11,""denominator_neglect_version_A"":12,""denominator_neglect_version_B"":13,""berlin_numeracy"":14,""bayesian_update_easy"":15,""bayesian_update_hard"":16}",2023-09-15 16:33:20,2023-09-19 18:55:57
"YLWpAkMfPa7xqIKjpo8vwJX5fJ",TRUE,"NuwYsAsVQIklJBBWq8Wb","223301","2.0","{""leapfrog"":1,""denominator_neglect_version_A"":2,""denominator_neglect_version_B"":3,""time_series"":4,""impossible_question"":5,""shipley_abstraction"":6,""shipley_vocab"":7,""admc_a2"":8,""admc_rp"":9,""bayesian_update_easy"":10,""bayesian_update_hard"":11,""admc_rc1"":12}",2023-09-15 16:33:31,2023-09-18 11:23:57
"u6uUvf0K4xUZvAfm4FlVQ3lGvI",TRUE,"lqho7BLGoZS5OORpai7P","223301","2.0","{""time_series"":1,""impossible_question"":2,""admc_a2"":3,""leapfrog"":4,""bayesian_update_easy"":5,""bayesian_update_hard"":6,""shipley_abstraction"":7,""shipley_vocab"":8,""admc_rp"":9,""denominator_neglect_version_A"":10,""denominator_neglect_version_B"":11,""admc_rc1"":12}",2023-09-15 16:34:38,2023-09-15 16:34:38
"l4lokMvlJ9evH2m2pyxepzLhBw",TRUE,"OdlRGXwUub5lMuQb97e9","223301","2.0","{""leapfrog"":1,""admc_rp"":2,""impossible_question"":3,""admc_a2"":4,""shipley_vocab"":5,""admc_rc1"":6,""bayesian_update_easy"":7,""bayesian_update_hard"":8,""shipley_abstraction"":9,""denominator_neglect_version_A"":10,""denominator_neglect_version_B"":11,""time_series"":12}",2023-09-15 16:37:34,2023-09-15 16:37:34
"Mx8vIXApijMaRfRVx5CwheNj7R",TRUE,"sdP0xt7UwYVx6QCBUGb9","33ff78","2.0","{""cognitive_reflection"":1,""time_series"":2,""bayesian_update_easy"":3,""bayesian_update_hard"":4,""admc_rc2"":5,""number_series"":6,""berlin_numeracy"":7,""admc_dr"":8,""raven_matrix"":9,""impossible_question"":10,""leapfrog"":11,""coherence_forecasting"":12,""denominator_neglect_version_A"":13,""denominator_neglect_version_B"":14,""graph_literacy"":15,""admc_a1"":16}",2023-09-15 16:37:40,2023-09-15 16:37:40
