trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,group,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,custom_timer_ended_trial,interval_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_raven_matrix,task_berlin_numeracy,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_bayesian_update_easy,task_bayesian_update_hard,task_coherence_forecasting,task_leapfrog,task_admc_dr,task_cognitive_reflection,task_admc_a1,task_time_series,task_number_series,task_graph_literacy,task_impossible_question,task_admc_rc2,response,question_order,pt_trial,block,trial,list_id,stimulus,correct_answer,correct,BNS_1,BNS_2,BNS_3,BNS_4,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,moved_sliders,cfs_id,cfs_response,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,admc_id,admc_response,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,slider_start,slider_moved,y_axis_values,chart_height,func,direction,noise_condition,datapoints,ns_id,ns_response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,response_choice,id,question_text,answer_1,answer_2
call-function,0,2,0.0-0.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,1611,0.0-1.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 1607}]",1607.0,False,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,1611,0.0-2.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,2602,0.0-3.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,,,,1280.0,603.0,True,chrome,116.0.0,False,Windows 10,True,60.78,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,4766,0.0-4.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,4767,0.0-5.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,4769,0.0-6.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,2JXgRlYwKeCSyD9HJW8hVvU49P,1280.0,720.0,,,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,2,0.0-0.0,DlgqDFDTBhm3azaOtREy,33ff78,3,1,h5ksrMHPeb25v21INaHw13aWWi,ij02fCj1H4cbeIe9GOs8KOlkwu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
