trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_graph_literacy,task_leapfrog,task_admc_a2,task_shipley_vocab,task_impossible_question,task_shipley_abstraction,task_coherence_forecasting,task_time_series,task_bayesian_update_easy,task_bayesian_update_hard,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rc1,task_admc_rp,response,custom_timer_ended_trial,interval_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,stimulus,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,slider_start,slider_moved,admc_id,admc_response,question_order,shipley_vocabulary_score,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,shipley_abstraction_score,moved_sliders,cfs_id,cfs_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn
call-function,0,2,0.0-0.0,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,14084,0.0-1.0,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,"[{'page_index': 0, 'viewing_time': 14080}]",14081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,14086,0.0-2.0,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,15076,0.0-3.0,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,1920.0,929.0,True,chrome,123.0.0,False,Windows 10,True,61.11,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,18320,0.0-4.0,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,18321,0.0-5.0,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,18322,0.0-6.0,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,3,0.0-0.0,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,bSygCd1NKclIPm3rc8YmAZhaW7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
