trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rc2,task_cognitive_reflection,task_leapfrog,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_impossible_question,task_admc_a1,task_bayesian_update_easy,task_bayesian_update_hard,task_time_series,task_admc_dr,task_raven_matrix,task_number_series,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,list_id,ns_id,ns_response
call-function,0,9,0.0-0.0,s9BvYB9WoYKvSNkimmdv,33ff78,3,DR15haz5pDHaKSHI8PaVezPO62,Z0EfCyJaRSJwcdoXKvo78bdfmK,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,6657,0.0-1.0,s9BvYB9WoYKvSNkimmdv,33ff78,3,DR15haz5pDHaKSHI8PaVezPO62,Z0EfCyJaRSJwcdoXKvo78bdfmK,1366.0,768.0,"[{'page_index': 0, 'viewing_time': 6644}]",6645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,6670,0.0-2.0,s9BvYB9WoYKvSNkimmdv,33ff78,3,DR15haz5pDHaKSHI8PaVezPO62,Z0EfCyJaRSJwcdoXKvo78bdfmK,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,7721,0.0-3.0,s9BvYB9WoYKvSNkimmdv,33ff78,3,DR15haz5pDHaKSHI8PaVezPO62,Z0EfCyJaRSJwcdoXKvo78bdfmK,1366.0,768.0,,,1366.0,641.0,True,chrome,122.0.0,False,Windows 10,True,58.39,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,11658,0.0-4.0,s9BvYB9WoYKvSNkimmdv,33ff78,3,DR15haz5pDHaKSHI8PaVezPO62,Z0EfCyJaRSJwcdoXKvo78bdfmK,1366.0,768.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,11662,0.0-5.0,s9BvYB9WoYKvSNkimmdv,33ff78,3,DR15haz5pDHaKSHI8PaVezPO62,Z0EfCyJaRSJwcdoXKvo78bdfmK,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,11666,0.0-6.0,s9BvYB9WoYKvSNkimmdv,33ff78,3,DR15haz5pDHaKSHI8PaVezPO62,Z0EfCyJaRSJwcdoXKvo78bdfmK,1366.0,768.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,4,0.0-0.0,s9BvYB9WoYKvSNkimmdv,33ff78,3,DR15haz5pDHaKSHI8PaVezPO62,SgyB2bQfIh6xo5H3fwBnfMinio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
