trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_cognitive_reflection,task_bayesian_update_easy,task_bayesian_update_hard,task_leapfrog,task_number_series,task_admc_dr,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_raven_matrix,task_admc_rc2,task_time_series,task_admc_a1,task_impossible_question,response,question_order,custom_timer_ended_trial,interval_id,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,stimulus,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,ns_id,ns_response,admc_id,admc_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,list_id,correct_answer,correct,slider_start,slider_moved,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,id,question_text,answer_1,answer_2
call-function,0,3,0.0-0.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,3849,0.0-1.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 3844}]",3844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,3849,0.0-2.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,4846,0.0-3.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,1280.0,551.0,True,chrome,123.0.0,False,Windows 10,True,60.42,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,21015,0.0-4.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,21015,0.0-5.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,21016,0.0-6.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,2,0.0-0.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,3ga6mZrfXKjgesEDlpMc3gQiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
