trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rp,task_shipley_vocab,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_a2,task_graph_literacy,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_impossible_question,task_time_series,task_admc_rc1,task_coherence_forecasting,task_shipley_abstraction,task_leapfrog,custom_timer_ended_trial,interval_id,response,moved_sliders,admc_id,admc_response,question_order,shipley_vocabulary_score,stimulus,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,slider_start,slider_moved,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,y_axis_values,chart_height,func,direction,noise_condition,datapoints,cfs_id,cfs_response,shipley_abstraction_score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction
html-keyboard-response,2,4,0.0-2.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,JfXhFfH0c44zXL4l2FXwKf8Tsq,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,7,23692,0.0-7.0-1.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,8,39171,0.0-7.0-2.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,"[{'page_index': 0, 'viewing_time': 15476}]",15477.0,,,,,,,,,,,,admc_rp_instructions,,,,,,,,,,,,,,,,,,,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,9,39172,0.0-7.0-3.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,10,122178,0.0-7.0-4.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,83003.0,,,,,,,,,,,,admc_rp_a_trial,,,,,,,,,,,,,,,,,,,False,4.0,"{'rp_a1': '20', 'rp_a2': '20', 'rp_a3': '5', 'rp_a4': '15', 'rp_a5': '84', 'rp_a6': '3', 'rp_a7': '2', 'rp_a8': '16', 'rp_a9': '100', 'rp_a10': '80'}","rp_a1_slider,rp_a2_slider,rp_a3_slider,rp_a4_slider,rp_a5_slider,rp_a6_slider,rp_a7_slider,rp_a8_slider,rp_a9_slider,rp_a10_slider,","['rp_a1', 'rp_a2', 'rp_a3', 'rp_a4', 'rp_a5', 'rp_a6', 'rp_a7', 'rp_a8', 'rp_a9', 'rp_a10']","['20', '20', '5', '15', '84', '3', '2', '16', '100', '80']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,11,204373,0.0-7.0-5.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,82191.0,,,,,,,,,,,,admc_rp_b_trial,,,,,,,,,,,,,,,,,,,False,5.0,"{'rp_b1': '40', 'rp_b2': '66', 'rp_b3': '10', 'rp_b4': '80', 'rp_b5': '97', 'rp_b6': '3', 'rp_b7': '3', 'rp_b8': '3', 'rp_b9': '100', 'rp_b10': '60'}","rp_b1_slider,rp_b2_slider,rp_b3_slider,rp_b4_slider,rp_b5_slider,rp_b6_slider,rp_b7_slider,rp_b8_slider,rp_b9_slider,rp_b10_slider,","['rp_b1', 'rp_b2', 'rp_b3', 'rp_b4', 'rp_b5', 'rp_b6', 'rp_b7', 'rp_b8', 'rp_b9', 'rp_b10']","['40', '66', '10', '80', '97', '3', '3', '3', '100', '60']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,12,204375,0.0-7.0-6.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,13,204376,0.0-7.0-7.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,14,204380,0.0-7.0-9.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,async_data_save,,ADMC Risk Perception__completed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,15,204385,0.0-9.0-0.0-0.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,16,204537,0.0-9.0-1.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,17,217624,0.0-9.0-2.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,"[{'page_index': 0, 'viewing_time': 13085}]",13086.0,,,,,,,,,,,,shipley_vocab_instructions,,,,,,,,,,,,,,,,,,,False,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,18,217625,0.0-9.0-3.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,19,404672,0.0-9.0-4.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,187042.0,,,,,,,,,,,,shipley_vocab_test_trial,,,,,,,,,,,,,,,,,,,False,9.0,"{'shipley_vocab_1': 'speak', 'shipley_vocab_2': 'sofa', 'shipley_vocab_3': 'recall', 'shipley_vocab_4': 'forgive', 'shipley_vocab_5': 'dreadful', 'shipley_vocab_6': 'large', 'shipley_vocab_7': 'likely', 'shipley_vocab_8': 'pretender', 'shipley_vocab_9': 'enchant', 'shipley_vocab_10': 'obvious', 'shipley_vocab_11': 'tell', 'shipley_vocab_12': 'pull', 'shipley_vocab_13': 'laughter', 'shipley_vocab_14': 'uninformed', 'shipley_vocab_15': 'heading', 'shipley_vocab_16': 'signify', 'shipley_vocab_17': 'serious', 'shipley_vocab_18': 'strengthen', 'shipley_vocab_19': 'deserve', 'shipley_vocab_20': 'fame', 'shipley_vocab_21': 'help', 'shipley_vocab_22': 'charm', 'shipley_vocab_23': 'barren', 'shipley_vocab_24': 'affable', 'shipley_vocab_25': 'belittle', 'shipley_vocab_26': 'notched', 'shipley_vocab_27': 'pilfer', 'shipley_vocab_28': 'hole', 'shipley_vocab_29': 'unspoiled', 'shipley_vocab_30': 'harmless', 'shipley_vocab_31': 'paltry', 'shipley_vocab_32': 'lament', 'shipley_vocab_33': 'inviolable', 'shipley_vocab_34': 'pledge', 'shipley_vocab_35': 'pertain', 'shipley_vocab_36': 'maniacal', 'shipley_vocab_37': 'incite', 'shipley_vocab_38': 'remonstrance', 'shipley_vocab_39': 'traverse', 'shipley_vocab_40': 'everyday'}",,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,20,404676,0.0-9.0-5.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,21,404677,0.0-9.0-6.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,22,404679,0.0-9.0-8.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,async_data_save,,Shipley (Vocabulary)__completed,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,23,404682,0.0-11.0-0.0-0.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,24,404833,0.0-11.0-1.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,25,506600,0.0-11.0-2.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,"[{'page_index': 0, 'viewing_time': 28879}, {'page_index': 1, 'viewing_time': 72888}]",101768.0,,,,,,,,,,,,bayesian_update_general_instructions,,,,,,,,,,,,,,,,,,,False,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,26,506601,0.0-11.0-3.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,27,518420,0.0-11.0-4.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,"[{'page_index': 0, 'viewing_time': 11818}]",11818.0,,,,,,,,,,,,bayesian_update_pt_trials_instructions,,,,,,,,,,,,,,,,,,,False,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,28,529809,0.0-11.0-5.0-0.0-0.0,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,11381.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,14.0,0,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",30.0,True,0.0,0.0,0.0,0.0,"[30, 70]",red,blue,red,['red'],[],easy,aig,0.6190392084062235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,29,541723,0.0-11.0-5.0-0.0-0.1,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,11910.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,20.0,0,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",30.0,True,0.0,1.0,0.0,1.0,"[30, 70]",red,blue,red,['red'],[['red']],easy,aig,0.2282586519809801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,30,552242,0.0-11.0-5.0-0.0-0.2,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,10516.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,26.0,0,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",30.0,True,0.0,2.0,0.0,2.0,"[30, 70]",red,blue,red,['red'],"[['red'], ['red']]",easy,aig,1.0755565123681836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,31,564436,0.0-11.0-5.0-0.0-0.3,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,12191.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,32.0,0,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",32.0,True,0.0,3.0,0.0,3.0,"[30, 70]",red,blue,red,['red'],"[['red'], ['red'], ['red']]",easy,aig,1.9721254217621704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,32,569960,0.0-11.0-5.0-0.0-0.4,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,5521.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,38.0,0,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",33.0,True,0.0,4.0,0.0,4.0,"[30, 70]",red,blue,red,['red'],"[['red'], ['red'], ['red'], ['red']]",easy,aig,2.8426477351807447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,33,599339,0.0-11.0-5.0-0.0-1.4-0.4,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,"[{'page_index': 0, 'viewing_time': 29378}]",29378.0,,,,,,,,,,,,bayesian_update_between_unique_trials_trial,,,,,,,,,,,,,,,,,,,False,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,34,609954,0.0-11.0-5.0-0.0-0.5,Q7iLWceWwxJLQ6xVJGyO,223301,3,aRg8OsqVaMVLpwb5kwt3dkM67f,EjcfgFo4v9vrzun754BsL72igd,1440.0,900.0,,10612.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,45.0,0,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>60 <span style=""color: blue;"">blue</span>, 40 <span style=""color: red;"">red</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>60 <span style=""color: red;"">red</span>, 40 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",40.0,True,0.0,5.0,1.0,0.0,"[40, 60]",blue,red,blue,['blue'],[],easy,aig,1.3862943611198906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
